Namespace,Application,Replicas,CPU Limits,Memory Limits,CPU Requests,Memory Requests,HPA Max,HPA Min,Target CPU utilization,Current CPU Utilization,Max Surge
abdw0-prep,bridge-abdw0-rest2host-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,core-abilitazioneborse-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,core-contratti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,ndce-abilitazioneborse-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
abdw0-prep,ndce-deploy-abilitazioneborse-v1,1,210m,512Mi,50m,500Mi,,,,,50%
abdw0-prod,bridge-abdw0-rest2host-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
abdw0-prod,core-abilitazioneborse-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,12,50%
abdw0-prod,core-contratti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
abdw0-prod,ndce-abilitazioneborse-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,10,50%
abdw0-prod,ndce-deploy-abilitazioneborse-v1,2,210m,512Mi,30m,500Mi,3,2,90,5,50%
brdw0-prep,core-buonidirisparmio-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
brdw0-prep,ndce-buonidirisparmio-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
brdw0-prep,ndce-deploy-buonidirisparmio-v1,1,210m,512Mi,50m,500Mi,,,,,50%
brdw0-prod,core-buonidirisparmio-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,11,50%
brdw0-prod,ndce-buonidirisparmio-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,13,50%
brdw0-prod,ndce-deploy-buonidirisparmio-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
codw0-prep,bridge-codw0-rest2host-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
codw0-prep,core-condizionida-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
codw0-prep,ndce-condizionida-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
codw0-prod,bridge-codw0-rest2host-v1,2,500m,1536Mi,150m,1535Mi,3,2,90,39,50%
codw0-prod,core-condizionida-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,10,50%
codw0-prod,ndce-condizionida-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,11,50%
crtd0-prep,core-googlepay-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,core-huaweipay-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,core-infocarte-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,core-margconvers-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,core-pratiche-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,core-questionari-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,infocarte-cache-v1,3,500m,1536Mi,100m,1535Mi,,,,,0
crtd0-prep,isya-postvenditacarte-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,mobile-huaweipay-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,mobile-infocarte-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,ndce-cartecommercial-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,ndce-deploy-firmadocumento-v1,1,210m,512Mi,100m,500Mi,,,,,50%
crtd0-prep,ndce-deploy-informativa-postvenditacarte-v1,1,210m,512Mi,50m,500Mi,,,,,50%
crtd0-prep,ndce-deploy-margconvers-v1,1,210m,512Mi,50m,500Mi,,,,,50%
crtd0-prep,ndce-deploy-qav-v1,1,210m,512Mi,100m,500Mi,,,,,50%
crtd0-prep,ndce-deploy-verificaconto-v1,1,210m,512Mi,100m,500Mi,,,,,50%
crtd0-prep,ndce-infocarte-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,ndce-margconvers-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prep,ndce-modificacircuitopref-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prod,core-googlepay-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
crtd0-prod,core-huaweipay-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,8,50%
crtd0-prod,core-infocarte-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,17,50%
crtd0-prod,core-margconvers-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,17,50%
crtd0-prod,core-pratiche-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,15,50%
crtd0-prod,core-questionari-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,13,50%
crtd0-prod,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
crtd0-prod,infocarte-cache-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,0
crtd0-prod,isya-postvenditacarte-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
crtd0-prod,mobile-huaweipay-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,15,50%
crtd0-prod,mobile-infocarte-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,26,50%
crtd0-prod,ndce-cartecommercial-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,13,50%
crtd0-prod,ndce-deploy-firmadocumento-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
crtd0-prod,ndce-deploy-informativa-postvenditacarte-v1,2,210m,512Mi,150m,500Mi,3,2,90,23,50%
crtd0-prod,ndce-deploy-margconvers-v1,2,210m,512Mi,50m,500Mi,3,2,90,,50%
crtd0-prod,ndce-deploy-qav-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
crtd0-prod,ndce-deploy-verificaconto-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
crtd0-prod,ndce-infocarte-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,8,50%
crtd0-prod,ndce-margconvers-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,11,50%
crtd0-prod,ndce-modificacircuitopref-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,18,50%
docd0-prep,core-archivio-chatbot-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,core-archiviopagamenti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,core-informativepg-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,core-propostecontratti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,disambiguazionecj-proposte-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,disambiguazionecj-webapp,1,210m,512Mi,50m,500Mi,,,,,50%
docd0-prep,isya-archivio-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,isya-avvisi-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,isya-carrello-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,isya-motorediricerca-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,ndce-archiviopagamenti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,ndce-deploy-affidamenti-v1,1,210m,512Mi,100m,500Mi,,,,,50%
docd0-prep,ndce-deploy-archiviopagamenti-v1,1,210m,512Mi,100m,500Mi,,,,,50%
docd0-prep,ndce-deploy-avvisi-v1,1,210m,512Mi,50m,500Mi,,,,,50%
docd0-prep,ndce-deploy-partiteamaturare-v1,1,210m,512Mi,100m,500Mi,,,,,50%
docd0-prep,ndce-deploy-posizioneportafoglio-v1,1,210m,512Mi,100m,500Mi,,,,,50%
docd0-prep,ndce-deploy-revoche-v1,1,210m,512Mi,50m,500Mi,,,,,50%
docd0-prep,ndce-informativepg-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prep,ndce-proposte-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
docd0-prod,core-archivio-chatbot-v1,3,500m,1536Mi,50m,1535Mi,4,3,70,11,50%
docd0-prod,core-archiviopagamenti-v1,4,500m,1536Mi,100m,1535Mi,4,4,90,57,50%
docd0-prod,core-informativepg-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,5,50%
docd0-prod,core-propostecontratti-v1,3,500m,2Gi,50m,2047Mi,5,3,90,10,50%
docd0-prod,disambiguazionecj-proposte-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,18,50%
docd0-prod,disambiguazionecj-webapp,2,210m,512Mi,50m,500Mi,3,2,90,14,50%
docd0-prod,isya-archivio-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
docd0-prod,isya-avvisi-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
docd0-prod,isya-carrello-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
docd0-prod,isya-motorediricerca-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
docd0-prod,ndce-archiviopagamenti-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,13,50%
docd0-prod,ndce-deploy-affidamenti-v1,2,210m,512Mi,30m,500Mi,3,2,90,5,50%
docd0-prod,ndce-deploy-archiviopagamenti-v1,2,210m,512Mi,100m,500Mi,3,2,90,21,50%
docd0-prod,ndce-deploy-avvisi-v1,2,210m,512Mi,50m,500Mi,3,2,90,24,50%
docd0-prod,ndce-deploy-partiteamaturare-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
docd0-prod,ndce-deploy-posizioneportafoglio-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
docd0-prod,ndce-deploy-revoche-v1,2,210m,512Mi,50m,500Mi,3,2,90,11,50%
docd0-prod,ndce-informativepg-v1,3,500m,1536Mi,50m,1535Mi,4,3,90,8,50%
docd0-prod,ndce-proposte-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
fiap0-prep,alfabetopb-deploy-financialaggregator-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,alfabetopb-financialaggregator-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,fiap0-cache-v1,3,500m,1536Mi,100m,1535Mi,,,,,0
fiap0-prep,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,ndce-calcolorating-fa-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,ndce-calcolorating-pf-fa-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,ndce-deploy-bank-enrollment-process-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,ndce-deploy-financialaggregator-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,ndce-deploy-mio-profilo-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,ndce-deploy-payments-fa-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,ndce-deploy-sca-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,ndce-deploy-smartlending-fa-v1,1,210m,512Mi,100m,500Mi,,,,,50%
fiap0-prep,ndce-fahub-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,ndce-financialaggregator-app-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,ndce-financialaggregator-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prep,ndce-smartlending-fa-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prod,alfabetopb-deploy-financialaggregator-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
fiap0-prod,alfabetopb-financialaggregator-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,11,50%
fiap0-prod,fiap0-cache-v1,3,500m,1536Mi,100m,1535Mi,3,3,70,18,0
fiap0-prod,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
fiap0-prod,ndce-calcolorating-fa-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,16,50%
fiap0-prod,ndce-calcolorating-pf-fa-v1,2,500m,1536Mi,50m,1535Mi,3,2,90,14,50%
fiap0-prod,ndce-deploy-bank-enrollment-process-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
fiap0-prod,ndce-deploy-financialaggregator-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
fiap0-prod,ndce-deploy-mio-profilo-v1,2,210m,512Mi,30m,500Mi,3,2,90,6,50%
fiap0-prod,ndce-deploy-payments-fa-v1,2,210m,512Mi,30m,500Mi,3,2,70,6,50%
fiap0-prod,ndce-deploy-sca-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
fiap0-prod,ndce-deploy-smartlending-fa-v1,2,210m,512Mi,30m,500Mi,3,2,70,5,50%
fiap0-prod,ndce-fahub-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
fiap0-prod,ndce-financialaggregator-app-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
fiap0-prod,ndce-financialaggregator-v1,15,500m,1536Mi,100m,1535Mi,15,5,90,84,50%
fiap0-prod,ndce-smartlending-fa-v1,2,500m,1536Mi,50m,1535Mi,3,2,70,22,50%
find0-prep,core-infofinanziamenti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
find0-prep,isya-infofinanziamenti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
find0-prep,mobile-infofinanziamenti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
find0-prod,core-infofinanziamenti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,33,50%
find0-prod,isya-infofinanziamenti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
find0-prod,mobile-infofinanziamenti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,19,50%
fisb0-prep,alfabeto-avvisi-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,alfabeto-contocorrente-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,alfabeto-ricerca-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,alfabeto-rubrica-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,alfabeto-userpreferences-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,bridge-fisb0-rest2host-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,core-alfabeto-avvisi-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,core-alfabeto-cc-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prep,core-alfabeto-rubrica-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fisb0-prod,alfabeto-avvisi-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,17,50%
fisb0-prod,alfabeto-contocorrente-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,13,50%
fisb0-prod,alfabeto-ricerca-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,6,50%
fisb0-prod,alfabeto-rubrica-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,9,50%
fisb0-prod,alfabeto-userpreferences-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,23,50%
fisb0-prod,bridge-fisb0-rest2host-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,48,50%
fisb0-prod,core-alfabeto-avvisi-v1,3,500m,1536Mi,50m,1535Mi,4,3,90,9,50%
fisb0-prod,core-alfabeto-cc-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,10,50%
fisb0-prod,core-alfabeto-rubrica-v1,3,500m,1536Mi,100m,1535Mi,4,3,90,9,50%
fpgd0-prep,core-mongoflussipg-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fpgd0-prep,fpgd0-cache-v1,3,500m,1536Mi,100m,1535Mi,,,,,25%
fpgd0-prep,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
fpgd0-prep,ndce-deploy-flussipg-v1,1,210m,512Mi,50m,500Mi,,,,,50%
fpgd0-prep,ndce-flussipg-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
fpgd0-prod,core-mongoflussipg-v1,2,500m,1536Mi,30m,1535Mi,3,2,90,16,50%
fpgd0-prod,fpgd0-cache-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,8,25%
fpgd0-prod,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
fpgd0-prod,ndce-deploy-flussipg-v1,2,210m,512Mi,30m,500Mi,3,2,90,3,50%
fpgd0-prod,ndce-flussipg-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,25,50%
gpdw0-prep,alfabeto-globalposition-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,alfabetomobile-globalposition-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,core-globalposition-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,isya-globalposition-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,mobile-globalposition-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,mobile-globalpositionpg-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,ndce-deploy-globalposition-v1,1,210m,512Mi,50m,500Mi,,,,,50%
gpdw0-prep,ndce-deploy-globalpositionfideuram-v1,1,210m,512Mi,50m,500Mi,,,,,50%
gpdw0-prep,ndce-deploy-globalpositionpg-v1,1,210m,512Mi,50m,500Mi,,,,,50%
gpdw0-prep,ndce-globalposition-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prep,ndce-globalpositionpg-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gpdw0-prod,alfabeto-globalposition-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
gpdw0-prod,alfabetomobile-globalposition-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,40,50%
gpdw0-prod,core-globalposition-v1,24,500m,1536Mi,100m,1535Mi,24,16,90,94,50%
gpdw0-prod,isya-globalposition-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,9,50%
gpdw0-prod,mobile-globalposition-v1,14,500m,1536Mi,100m,1535Mi,18,12,90,86,50%
gpdw0-prod,mobile-globalpositionpg-v1,8,500m,1536Mi,100m,1535Mi,12,8,90,16,50%
gpdw0-prod,ndce-deploy-globalposition-v1,15,210m,512Mi,50m,500Mi,30,15,90,98,50%
gpdw0-prod,ndce-deploy-globalpositionfideuram-v1,2,210m,512Mi,50m,500Mi,3,2,90,25,50%
gpdw0-prod,ndce-deploy-globalpositionpg-v1,8,210m,512Mi,50m,500Mi,12,8,90,55,50%
gpdw0-prod,ndce-globalposition-v1,4,500m,1536Mi,100m,1535Mi,6,4,90,48,50%
gpdw0-prod,ndce-globalpositionpg-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,34,50%
icdw0-prep,alfabeto-infoconti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
icdw0-prep,core-infoconti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
icdw0-prep,ndce-deploy-infoconti-v1,1,210m,512Mi,50m,500Mi,,,,,50%
icdw0-prep,ndce-infoconti-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
icdw0-prod,alfabeto-infoconti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,16,50%
icdw0-prod,core-infoconti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,32,50%
icdw0-prod,ndce-deploy-infoconti-v1,2,210m,512Mi,50m,500Mi,3,2,90,80,50%
icdw0-prod,ndce-infoconti-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,42,50%
mcfg0-prod,core-appconfiguration-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,4,50%
mcfg0-prod,core-demoapp-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,5,50%
mcfg0-prod,core-deviceinfo-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,5,50%
mcfg0-prod,core-identification-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,9,50%
mcfg0-prod,core-liveness-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,5,50%
mcfg0-prod,core-login-identification-matcher-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,,50%
